,hospital,date,year,monthday,month,day,attendences,min,max,aver,Hosp_ID,Time_ID,DAT,ThreeDAT,EHIaccl,dow,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year_1,Year_2,Year_3,Year_4,Year_5,Year_6,Year_7,Year_8
14610,davis,2009-01-01,2009,101,1,1,180.0,4.0,6.0,5.0,6,1,5.0,,,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14611,davis,2009-01-02,2009,102,1,2,193.0,3.0,9.0,7.0,6,2,6.0,,,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14612,davis,2009-01-03,2009,103,1,3,171.0,1.0,11.0,6.0,6,3,6.0,5.666666507720947,,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14613,davis,2009-01-04,2009,104,1,4,151.0,-4.0,10.0,3.0,6,4,3.0,5.0,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14614,davis,2009-01-05,2009,105,1,5,177.0,5.0,7.0,6.0,6,5,6.0,5.0,,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14615,davis,2009-01-06,2009,106,1,6,173.0,2.0,10.0,6.0,6,6,6.0,5.0,,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14616,davis,2009-01-07,2009,107,1,7,163.0,-1.0,8.0,3.0,6,7,3.5,5.166666507720947,,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14617,davis,2009-01-08,2009,108,1,8,154.0,3.0,8.0,6.0,6,8,5.5,5.0,,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14618,davis,2009-01-09,2009,109,1,9,176.0,2.0,15.0,8.0,6,9,8.5,5.833333492279053,,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14619,davis,2009-01-10,2009,110,1,10,178.0,-3.0,14.0,6.0,6,10,5.5,6.5,,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14620,davis,2009-01-11,2009,111,1,11,171.0,-3.0,14.0,6.0,6,11,5.5,6.5,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14621,davis,2009-01-12,2009,112,1,12,193.0,0.0,23.0,11.0,6,12,11.5,7.5,,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14622,davis,2009-01-13,2009,113,1,13,188.0,1.0,18.0,9.0,6,13,9.5,8.833333015441895,,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14623,davis,2009-01-14,2009,114,1,14,179.0,-1.0,17.0,8.0,6,14,8.0,9.666666984558105,,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14624,davis,2009-01-15,2009,115,1,15,189.0,0.0,17.0,9.0,6,15,8.5,8.666666984558105,,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14625,davis,2009-01-16,2009,116,1,16,149.0,0.0,18.0,9.0,6,16,9.0,8.5,,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14626,davis,2009-01-17,2009,117,1,17,183.0,1.0,18.0,9.0,6,17,9.5,9.0,,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
